Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,14,AChR-MG,Yes,>10,1068
Human,15,AChR-MG,No,>10,20776
Human,15,AChR-MG,Yes,>10,981
Human,16,AChR-MG,No,>10,18399
Human,16,AChR-MG,Yes,>10,1075
Human,17,AChR-MG,No,>10,15845
Human,17,AChR-MG,Yes,>10,986
Human,18,AChR-MG,No,>10,12580
Human,18,AChR-MG,Yes,>10,759
Human,19,AChR-MG,No,>10,10400
Human,19,AChR-MG,Yes,>10,712
Human,20,AChR-MG,No,>10,7634
Human,20,AChR-MG,Yes,>10,696
Human,21,AChR-MG,No,>10,3497
Human,21,AChR-MG,Yes,>10,425
Human,22,AChR-MG,No,>10,1258
Human,22,AChR-MG,Yes,>10,217
Human,23,AChR-MG,No,>10,328
Human,23,AChR-MG,Yes,>10,90
Human,24,AChR-MG,No,>10,46
Human,24,AChR-MG,Yes,>10,20
Human,1,Allergic-Rhinitis-In-Season,No,1,32615
Human,1,Allergic-Rhinitis-In-Season,No,2,4086
Human,1,Allergic-Rhinitis-In-Season,No,3,1245
Human,1,Allergic-Rhinitis-In-Season,No,4,591
Human,1,Allergic-Rhinitis-In-Season,No,5,347
Human,1,Allergic-Rhinitis-In-Season,No,6,181
Human,1,Allergic-Rhinitis-In-Season,No,7,77
Human,1,Allergic-Rhinitis-In-Season,No,8,58
Human,1,Allergic-Rhinitis-In-Season,No,9,33
Human,1,Allergic-Rhinitis-In-Season,No,10,24
Human,1,Allergic-Rhinitis-In-Season,No,>10,141
Human,1,Allergic-Rhinitis-In-Season,Yes,1,995
Human,1,Allergic-Rhinitis-In-Season,Yes,2,176
Human,1,Allergic-Rhinitis-In-Season,Yes,3,46
Human,1,Allergic-Rhinitis-In-Season,Yes,4,20
Human,1,Allergic-Rhinitis-In-Season,Yes,5,7
Human,1,Allergic-Rhinitis-In-Season,Yes,6,26
Human,1,Allergic-Rhinitis-In-Season,Yes,7,3
Human,1,Allergic-Rhinitis-In-Season,Yes,8,4
Human,1,Allergic-Rhinitis-In-Season,Yes,9,3
Human,1,Allergic-Rhinitis-In-Season,Yes,10,2
Human,1,Allergic-Rhinitis-In-Season,Yes,>10,7
Human,2,Allergic-Rhinitis-In-Season,No,1,13
Human,2,Allergic-Rhinitis-In-Season,No,2,1899
Human,2,Allergic-Rhinitis-In-Season,No,3,898
Human,2,Allergic-Rhinitis-In-Season,No,4,435
Human,2,Allergic-Rhinitis-In-Season,No,5,259
Human,2,Allergic-Rhinitis-In-Season,No,6,192
Human,2,Allergic-Rhinitis-In-Season,No,7,124
Human,2,Allergic-Rhinitis-In-Season,No,8,78
Human,2,Allergic-Rhinitis-In-Season,No,9,61
Human,2,Allergic-Rhinitis-In-Season,No,10,45
Human,2,Allergic-Rhinitis-In-Season,No,>10,503
