Species,Disease_presence_peptide,Disease,CDR3,Uniqueness,n_unique_peptides
Human,4,Allergy/NoSIT,No,7,36699
Human,4,Allergy/NoSIT,No,8,33339
Human,4,Allergy/NoSIT,No,9,29784
Human,4,Allergy/NoSIT,No,10,26423
Human,4,Allergy/NoSIT,No,>10,339559
Human,4,Allergy/NoSIT,Yes,4,1261
Human,4,Allergy/NoSIT,Yes,5,1891
Human,4,Allergy/NoSIT,Yes,6,2057
Human,4,Allergy/NoSIT,Yes,7,2062
Human,4,Allergy/NoSIT,Yes,8,1957
Human,4,Allergy/NoSIT,Yes,9,1761
Human,4,Allergy/NoSIT,Yes,10,1603
Human,4,Allergy/NoSIT,Yes,>10,19945
Human,5,Allergy/NoSIT,No,4,3
Human,5,Allergy/NoSIT,No,5,8158
Human,5,Allergy/NoSIT,No,6,13318
Human,5,Allergy/NoSIT,No,7,16026
Human,5,Allergy/NoSIT,No,8,17183
Human,5,Allergy/NoSIT,No,9,17147
Human,5,Allergy/NoSIT,No,10,16459
Human,5,Allergy/NoSIT,No,>10,331899
Human,5,Allergy/NoSIT,Yes,5,274
Human,5,Allergy/NoSIT,Yes,6,509
Human,5,Allergy/NoSIT,Yes,7,704
Human,5,Allergy/NoSIT,Yes,8,747
Human,5,Allergy/NoSIT,Yes,9,888
Human,5,Allergy/NoSIT,Yes,10,850
Human,5,Allergy/NoSIT,Yes,>10,19387
Human,6,Allergy/NoSIT,No,5,2
Human,6,Allergy/NoSIT,No,6,1933
Human,6,Allergy/NoSIT,No,7,3821
Human,6,Allergy/NoSIT,No,8,5596
Human,6,Allergy/NoSIT,No,9,6793
Human,6,Allergy/NoSIT,No,10,7396
Human,6,Allergy/NoSIT,No,>10,279438
Human,6,Allergy/NoSIT,Yes,6,55
Human,6,Allergy/NoSIT,Yes,7,118
Human,6,Allergy/NoSIT,Yes,8,198
Human,6,Allergy/NoSIT,Yes,9,239
Human,6,Allergy/NoSIT,Yes,10,323
Human,6,Allergy/NoSIT,Yes,>10,16047
Human,7,Allergy/NoSIT,No,7,381
Human,7,Allergy/NoSIT,No,8,1033
Human,7,Allergy/NoSIT,No,9,1658
Human,7,Allergy/NoSIT,No,10,2318
Human,7,Allergy/NoSIT,No,>10,221666
Human,7,Allergy/NoSIT,Yes,7,11
Human,7,Allergy/NoSIT,Yes,8,34
Human,7,Allergy/NoSIT,Yes,9,48
Human,7,Allergy/NoSIT,Yes,10,73
Human,7,Allergy/NoSIT,Yes,>10,12284
Human,8,Allergy/NoSIT,No,8,75
Human,8,Allergy/NoSIT,No,9,216
Human,8,Allergy/NoSIT,No,10,451
Human,8,Allergy/NoSIT,No,>10,178077
Human,8,Allergy/NoSIT,Yes,8,2
Human,8,Allergy/NoSIT,Yes,9,5
Human,8,Allergy/NoSIT,Yes,10,7
Human,8,Allergy/NoSIT,Yes,>10,9025
Human,9,Allergy/NoSIT,No,9,8
Human,9,Allergy/NoSIT,No,10,51
Human,9,Allergy/NoSIT,No,>10,142925
Human,9,Allergy/NoSIT,Yes,>10,6906
Human,10,Allergy/NoSIT,No,10,2
Human,10,Allergy/NoSIT,No,>10,116205
Human,10,Allergy/NoSIT,Yes,>10,5203
Human,11,Allergy/NoSIT,No,>10,94880
Human,11,Allergy/NoSIT,Yes,>10,3962
Human,12,Allergy/NoSIT,No,>10,75576
Human,12,Allergy/NoSIT,Yes,>10,3033
Human,13,Allergy/NoSIT,No,>10,58365
Human,13,Allergy/NoSIT,Yes,>10,2429
Human,14,Allergy/NoSIT,No,>10,44329
Human,14,Allergy/NoSIT,Yes,>10,1920
Human,15,Allergy/NoSIT,No,>10,34275
Human,15,Allergy/NoSIT,Yes,>10,1604
Human,16,Allergy/NoSIT,No,>10,26348
Human,16,Allergy/NoSIT,Yes,>10,1420
Human,17,Allergy/NoSIT,No,>10,20227
Human,17,Allergy/NoSIT,Yes,>10,1183
Human,18,Allergy/NoSIT,No,>10,14726
Human,18,Allergy/NoSIT,Yes,>10,845
Human,19,Allergy/NoSIT,No,>10,11205
Human,19,Allergy/NoSIT,Yes,>10,757
Human,20,Allergy/NoSIT,No,>10,7818
Human,20,Allergy/NoSIT,Yes,>10,717
Human,21,Allergy/NoSIT,No,>10,3533
Human,21,Allergy/NoSIT,Yes,>10,426
Human,22,Allergy/NoSIT,No,>10,1262
Human,22,Allergy/NoSIT,Yes,>10,218
Human,23,Allergy/NoSIT,No,>10,329
Human,23,Allergy/NoSIT,Yes,>10,90
Human,24,Allergy/NoSIT,No,>10,46
Human,24,Allergy/NoSIT,Yes,>10,20
Human,1,Allergy/SIT,No,1,793118
Human,1,Allergy/SIT,No,2,109020
Human,1,Allergy/SIT,No,3,26658
Human,1,Allergy/SIT,No,4,9713
Human,1,Allergy/SIT,No,5,4892
Human,1,Allergy/SIT,No,6,2662
Human,1,Allergy/SIT,No,7,1799
Human,1,Allergy/SIT,No,8,1181
Human,1,Allergy/SIT,No,9,914
Human,1,Allergy/SIT,No,10,688
Human,1,Allergy/SIT,No,>10,2912
Human,1,Allergy/SIT,Yes,1,38074
Human,1,Allergy/SIT,Yes,2,6110
Human,1,Allergy/SIT,Yes,3,1518
Human,1,Allergy/SIT,Yes,4,567
Human,1,Allergy/SIT,Yes,5,259
Human,1,Allergy/SIT,Yes,6,169
Human,1,Allergy/SIT,Yes,7,114
Human,1,Allergy/SIT,Yes,8,70
Human,1,Allergy/SIT,Yes,9,58
Human,1,Allergy/SIT,Yes,10,34
Human,1,Allergy/SIT,Yes,>10,227
Human,2,Allergy/SIT,No,1,155
Human,2,Allergy/SIT,No,2,40055
Human,2,Allergy/SIT,No,3,18221
Human,2,Allergy/SIT,No,4,9275
Human,2,Allergy/SIT,No,5,5168
Human,2,Allergy/SIT,No,6,3441
Human,2,Allergy/SIT,No,7,2324
Human,2,Allergy/SIT,No,8,1728
Human,2,Allergy/SIT,No,9,1329
Human,2,Allergy/SIT,No,10,1033
Human,2,Allergy/SIT,No,>10,8263
Human,2,Allergy/SIT,Yes,1,2
Human,2,Allergy/SIT,Yes,2,2700
Human,2,Allergy/SIT,Yes,3,1307
Human,2,Allergy/SIT,Yes,4,744
Human,2,Allergy/SIT,Yes,5,418
Human,2,Allergy/SIT,Yes,6,266
Human,2,Allergy/SIT,Yes,7,183
Human,2,Allergy/SIT,Yes,8,164
Human,2,Allergy/SIT,Yes,9,94
Human,2,Allergy/SIT,Yes,10,73
Human,2,Allergy/SIT,Yes,>10,570
Human,3,Allergy/SIT,No,2,41
Human,3,Allergy/SIT,No,3,9954
Human,3,Allergy/SIT,No,4,8375
Human,3,Allergy/SIT,No,5,6044
Human,3,Allergy/SIT,No,6,4674
Human,3,Allergy/SIT,No,7,3528
Human,3,Allergy/SIT,No,8,2723
Human,3,Allergy/SIT,No,9,2169
Human,3,Allergy/SIT,No,10,1751
Human,3,Allergy/SIT,No,>10,14904
Human,3,Allergy/SIT,Yes,3,671
Human,3,Allergy/SIT,Yes,4,550
Human,3,Allergy/SIT,Yes,5,431
Human,3,Allergy/SIT,Yes,6,344
Human,3,Allergy/SIT,Yes,7,275
Human,3,Allergy/SIT,Yes,8,228
Human,3,Allergy/SIT,Yes,9,192
Human,3,Allergy/SIT,Yes,10,134
Human,3,Allergy/SIT,Yes,>10,1062
Human,4,Allergy/SIT,No,2,2
Human,4,Allergy/SIT,No,3,8
Human,4,Allergy/SIT,No,4,2809
Human,4,Allergy/SIT,No,5,3306
Human,4,Allergy/SIT,No,6,3254
Human,4,Allergy/SIT,No,7,2945
Human,4,Allergy/SIT,No,8,2537
Human,4,Allergy/SIT,No,9,2393
Human,4,Allergy/SIT,No,10,1998
Human,4,Allergy/SIT,No,>10,23832
Human,4,Allergy/SIT,Yes,4,159
Human,4,Allergy/SIT,Yes,5,204
Human,4,Allergy/SIT,Yes,6,228
Human,4,Allergy/SIT,Yes,7,212
Human,4,Allergy/SIT,Yes,8,183
Human,4,Allergy/SIT,Yes,9,135
Human,4,Allergy/SIT,Yes,10,140
Human,4,Allergy/SIT,Yes,>10,1534
Human,5,Allergy/SIT,No,4,3
Human,5,Allergy/SIT,No,5,671
Human,5,Allergy/SIT,No,6,1163
Human,5,Allergy/SIT,No,7,1339
Human,5,Allergy/SIT,No,8,1447
Human,5,Allergy/SIT,No,9,1382
Human,5,Allergy/SIT,No,10,1412
Human,5,Allergy/SIT,No,>10,31625
Human,5,Allergy/SIT,Yes,5,36
Human,5,Allergy/SIT,Yes,6,64
Human,5,Allergy/SIT,Yes,7,88
Human,5,Allergy/SIT,Yes,8,77
Human,5,Allergy/SIT,Yes,9,107
Human,5,Allergy/SIT,Yes,10,88
Human,5,Allergy/SIT,Yes,>10,1783
Human,6,Allergy/SIT,No,6,159
Human,6,Allergy/SIT,No,7,322
Human,6,Allergy/SIT,No,8,456
Human,6,Allergy/SIT,No,9,614
Human,6,Allergy/SIT,No,10,616
Human,6,Allergy/SIT,No,>10,39499
Human,6,Allergy/SIT,Yes,6,10
Human,6,Allergy/SIT,Yes,7,21
Human,6,Allergy/SIT,Yes,8,22
Human,6,Allergy/SIT,Yes,9,28
Human,6,Allergy/SIT,Yes,10,37
Human,6,Allergy/SIT,Yes,>10,1740
Human,7,Allergy/SIT,No,7,35
Human,7,Allergy/SIT,No,8,74
Human,7,Allergy/SIT,No,9,136
Human,7,Allergy/SIT,No,10,186
Human,7,Allergy/SIT,No,>10,28909
Human,7,Allergy/SIT,Yes,7,1
Human,7,Allergy/SIT,Yes,8,4
Human,7,Allergy/SIT,Yes,9,8
Human,7,Allergy/SIT,Yes,10,11
Human,7,Allergy/SIT,Yes,>10,1570
Human,8,Allergy/SIT,No,8,7
Human,8,Allergy/SIT,No,9,5
Human,8,Allergy/SIT,No,10,41
Human,8,Allergy/SIT,No,>10,23566
Human,8,Allergy/SIT,Yes,9,2
Human,8,Allergy/SIT,Yes,10,2
Human,8,Allergy/SIT,Yes,>10,1415
Human,9,Allergy/SIT,No,10,3
Human,9,Allergy/SIT,No,>10,21120
Human,9,Allergy/SIT,Yes,>10,1256
Human,10,Allergy/SIT,No,>10,19102
Human,10,Allergy/SIT,Yes,>10,1145
Human,11,Allergy/SIT,No,>10,18283
Human,11,Allergy/SIT,Yes,>10,1010
Human,12,Allergy/SIT,No,>10,17816
Human,12,Allergy/SIT,Yes,>10,882
Human,13,Allergy/SIT,No,>10,17273
Human,13,Allergy/SIT,Yes,>10,857
Human,14,Allergy/SIT,No,>10,15968
Human,14,Allergy/SIT,Yes,>10,723
Human,15,Allergy/SIT,No,>10,15344
Human,15,Allergy/SIT,Yes,>10,701
Human,16,Allergy/SIT,No,>10,13902
Human,16,Allergy/SIT,Yes,>10,645
Human,17,Allergy/SIT,No,>10,12703
Human,17,Allergy/SIT,Yes,>10,675
Human,18,Allergy/SIT,No,>10,11802
Human,18,Allergy/SIT,Yes,>10,637
Human,19,Allergy/SIT,No,>10,10464
Human,19,Allergy/SIT,Yes,>10,679
Human,20,Allergy/SIT,No,>10,7689
Human,20,Allergy/SIT,Yes,>10,706
Human,21,Allergy/SIT,No,>10,3516
Human,21,Allergy/SIT,Yes,>10,425
Human,22,Allergy/SIT,No,>10,1262
Human,22,Allergy/SIT,Yes,>10,218
Human,23,Allergy/SIT,No,>10,329
Human,23,Allergy/SIT,Yes,>10,90
Human,24,Allergy/SIT,No,>10,46
Human,24,Allergy/SIT,Yes,>10,20
Human,1,Asthma,No,1,1813023
Human,1,Asthma,No,2,234658
Human,1,Asthma,No,3,102462
Human,1,Asthma,No,4,59909
Human,1,Asthma,No,5,39523
Human,1,Asthma,No,6,28545
Human,1,Asthma,No,7,21767
Human,1,Asthma,No,8,17132
Human,1,Asthma,No,9,13898
Human,1,Asthma,No,10,11636
Human,1,Asthma,No,>10,108750
Human,1,Asthma,Yes,1,18081
Human,1,Asthma,Yes,2,3501
Human,1,Asthma,Yes,3,1838
Human,1,Asthma,Yes,4,1164
Human,1,Asthma,Yes,5,923
Human,1,Asthma,Yes,6,720
Human,1,Asthma,Yes,7,565
Human,1,Asthma,Yes,8,449
Human,1,Asthma,Yes,9,398
Human,1,Asthma,Yes,10,361
Human,1,Asthma,Yes,>10,3170
Human,2,Asthma,No,1,8
Human,2,Asthma,No,2,60461
Human,2,Asthma,No,3,23727
Human,2,Asthma,No,4,12770
Human,2,Asthma,No,5,7923
Human,2,Asthma,No,6,5281
Human,2,Asthma,No,7,3990
Human,2,Asthma,No,8,3119
Human,2,Asthma,No,9,2480
Human,2,Asthma,No,10,1876
Human,2,Asthma,No,>10,18196
Human,2,Asthma,Yes,2,916
Human,2,Asthma,Yes,3,466
Human,2,Asthma,Yes,4,276
Human,2,Asthma,Yes,5,199
Human,2,Asthma,Yes,6,158
Human,2,Asthma,Yes,7,132
Human,2,Asthma,Yes,8,101
Human,2,Asthma,Yes,9,85
Human,2,Asthma,Yes,10,77
Human,2,Asthma,Yes,>10,714
Human,3,Asthma,No,2,1
Human,3,Asthma,No,3,17082
Human,3,Asthma,No,4,12227
Human,3,Asthma,No,5,8673
Human,3,Asthma,No,6,6216
Human,3,Asthma,No,7,4702
Human,3,Asthma,No,8,3710
Human,3,Asthma,No,9,2894
Human,3,Asthma,No,10,2467
Human,3,Asthma,No,>10,20905
Human,3,Asthma,Yes,3,268
Human,3,Asthma,Yes,4,218
Human,3,Asthma,Yes,5,165
Human,3,Asthma,Yes,6,117
Human,3,Asthma,Yes,7,125
Human,3,Asthma,Yes,8,97
Human,3,Asthma,Yes,9,89
Human,3,Asthma,Yes,10,65
Human,3,Asthma,Yes,>10,747
Human,4,Asthma,No,3,2
Human,4,Asthma,No,4,5207
Human,4,Asthma,No,5,5784
Human,4,Asthma,No,6,5321
Human,4,Asthma,No,7,4466
Human,4,Asthma,No,8,3778
Human,4,Asthma,No,9,3201
Human,4,Asthma,No,10,2775
Human,4,Asthma,No,>10,27386
Human,4,Asthma,Yes,4,98
Human,4,Asthma,Yes,5,94
Human,4,Asthma,Yes,6,95
Human,4,Asthma,Yes,7,74
Human,4,Asthma,Yes,8,74
Human,4,Asthma,Yes,9,67
Human,4,Asthma,Yes,10,77
Human,4,Asthma,Yes,>10,805
Human,5,Asthma,No,5,1542
Human,5,Asthma,No,6,2305
Human,5,Asthma,No,7,2665
Human,5,Asthma,No,8,2569
Human,5,Asthma,No,9,2532
Human,5,Asthma,No,10,2436
Human,5,Asthma,No,>10,32719
Human,5,Asthma,Yes,5,21
Human,5,Asthma,Yes,6,42
Human,5,Asthma,Yes,7,38
Human,5,Asthma,Yes,8,44
Human,5,Asthma,Yes,9,58
Human,5,Asthma,Yes,10,34
Human,5,Asthma,Yes,>10,887
Human,6,Asthma,No,6,465
Human,6,Asthma,No,7,904
Human,6,Asthma,No,8,1144
Human,6,Asthma,No,9,1337
Human,6,Asthma,No,10,1382
Human,6,Asthma,No,>10,35112
Human,6,Asthma,Yes,6,10
Human,6,Asthma,Yes,7,12
Human,6,Asthma,Yes,8,18
Human,6,Asthma,Yes,9,21
Human,6,Asthma,Yes,10,25
Human,6,Asthma,Yes,>10,969
Human,7,Asthma,No,7,95
Human,7,Asthma,No,8,225
Human,7,Asthma,No,9,418
Human,7,Asthma,No,10,562
Human,7,Asthma,No,>10,33700
Human,7,Asthma,Yes,8,3
Human,7,Asthma,Yes,9,10
Human,7,Asthma,Yes,10,8
Human,7,Asthma,Yes,>10,948
Human,8,Asthma,No,8,25
Human,8,Asthma,No,9,49
Human,8,Asthma,No,10,113
Human,8,Asthma,No,>10,30320
Human,8,Asthma,Yes,9,1
Human,8,Asthma,Yes,10,1
Human,8,Asthma,Yes,>10,860
Human,9,Asthma,No,9,2
Human,9,Asthma,No,10,10
Human,9,Asthma,No,>10,26804
Human,9,Asthma,Yes,>10,786
Human,10,Asthma,No,>10,24627
Human,10,Asthma,Yes,>10,720
Human,11,Asthma,No,>10,23317
Human,11,Asthma,Yes,>10,678
Human,12,Asthma,No,>10,22108
Human,12,Asthma,Yes,>10,670
Human,13,Asthma,No,>10,20624
Human,13,Asthma,Yes,>10,656
Human,14,Asthma,No,>10,18628
Human,14,Asthma,Yes,>10,701
Human,15,Asthma,No,>10,17233
Human,15,Asthma,Yes,>10,744
Human,16,Asthma,No,>10,15698
Human,16,Asthma,Yes,>10,859
Human,17,Asthma,No,>10,14150
Human,17,Asthma,Yes,>10,835
Human,18,Asthma,No,>10,11551
Human,18,Asthma,Yes,>10,654
Human,19,Asthma,No,>10,9842
Human,19,Asthma,Yes,>10,678
Human,20,Asthma,No,>10,7479
Human,20,Asthma,Yes,>10,696
Human,21,Asthma,No,>10,3478
Human,21,Asthma,Yes,>10,415
Human,22,Asthma,No,>10,1247
Human,22,Asthma,Yes,>10,218
Human,23,Asthma,No,>10,327
Human,23,Asthma,Yes,>10,90
Human,24,Asthma,No,>10,46
Human,24,Asthma,Yes,>10,20
Human,1,CLL,No,1,27831
Human,1,CLL,No,2,3491
Human,1,CLL,No,3,1307
Human,1,CLL,No,4,623
Human,1,CLL,No,5,426
Human,1,CLL,No,6,286
Human,1,CLL,No,7,187
Human,1,CLL,No,8,147
Human,1,CLL,No,9,124
Human,1,CLL,No,10,74
Human,1,CLL,No,>10,533
Human,1,CLL,Yes,1,1039
Human,1,CLL,Yes,2,155
Human,1,CLL,Yes,3,60
Human,1,CLL,Yes,4,38
Human,1,CLL,Yes,5,18
Human,1,CLL,Yes,6,21
Human,1,CLL,Yes,7,7
Human,1,CLL,Yes,8,7
Human,1,CLL,Yes,9,9
Human,1,CLL,Yes,10,7
Human,1,CLL,Yes,>10,27
Human,2,CLL,No,1,2
Human,2,CLL,No,2,1317
Human,2,CLL,No,3,561
Human,2,CLL,No,4,333
Human,2,CLL,No,5,202
Human,2,CLL,No,6,155
Human,2,CLL,No,7,122
Human,2,CLL,No,8,63
Human,2,CLL,No,9,51
Human,2,CLL,No,10,41
Human,2,CLL,No,>10,376
Human,2,CLL,Yes,2,83
Human,2,CLL,Yes,3,30
Human,2,CLL,Yes,4,14
Human,2,CLL,Yes,5,5
Human,2,CLL,Yes,6,8
Human,2,CLL,Yes,7,2
Human,2,CLL,Yes,8,7
Human,2,CLL,Yes,9,5
Human,2,CLL,Yes,10,1
Human,2,CLL,Yes,>10,25
Human,3,CLL,No,3,334
Human,3,CLL,No,4,261
Human,3,CLL,No,5,187
Human,3,CLL,No,6,134
Human,3,CLL,No,7,124
Human,3,CLL,No,8,79
Human,3,CLL,No,9,80
Human,3,CLL,No,10,54
Human,3,CLL,No,>10,551
Human,3,CLL,Yes,3,24
Human,3,CLL,Yes,4,19
Human,3,CLL,Yes,5,8
Human,3,CLL,Yes,6,7
Human,3,CLL,Yes,7,4
Human,3,CLL,Yes,8,5
Human,3,CLL,Yes,9,5
Human,3,CLL,Yes,10,3
Human,3,CLL,Yes,>10,31
Human,4,CLL,No,4,92
Human,4,CLL,No,5,124
Human,4,CLL,No,6,102
Human,4,CLL,No,7,79
Human,4,CLL,No,8,61
Human,4,CLL,No,9,81
Human,4,CLL,No,10,63
Human,4,CLL,No,>10,806
Human,4,CLL,Yes,4,3
Human,4,CLL,Yes,6,7
Human,4,CLL,Yes,7,9
Human,4,CLL,Yes,8,4
Human,4,CLL,Yes,9,2
Human,4,CLL,Yes,10,6
Human,4,CLL,Yes,>10,42
Human,5,CLL,No,5,22
Human,5,CLL,No,6,50
Human,5,CLL,No,7,60
Human,5,CLL,No,8,44
Human,5,CLL,No,9,49
Human,5,CLL,No,10,41
Human,5,CLL,No,>10,913
Human,5,CLL,Yes,5,5
Human,5,CLL,Yes,6,3
Human,5,CLL,Yes,8,6
Human,5,CLL,Yes,9,1
Human,5,CLL,Yes,10,4
Human,5,CLL,Yes,>10,55
Human,6,CLL,No,6,5
Human,6,CLL,No,7,13
Human,6,CLL,No,8,15
Human,6,CLL,No,9,25
Human,6,CLL,No,10,22
Human,6,CLL,No,>10,1004
Human,6,CLL,Yes,6,1
Human,6,CLL,Yes,7,1
Human,6,CLL,Yes,9,1
Human,6,CLL,Yes,10,2
Human,6,CLL,Yes,>10,48
Human,7,CLL,No,8,2
Human,7,CLL,No,9,4
Human,7,CLL,No,10,7
Human,7,CLL,No,>10,1092
Human,7,CLL,Yes,10,1
Human,7,CLL,Yes,>10,43
Human,8,CLL,No,10,3
Human,8,CLL,No,>10,959
Human,8,CLL,Yes,>10,32
Human,9,CLL,No,>10,859
Human,9,CLL,Yes,>10,31
Human,10,CLL,No,>10,767
Human,10,CLL,Yes,>10,40
Human,11,CLL,No,>10,738
Human,11,CLL,Yes,>10,28
Human,12,CLL,No,>10,692
Human,12,CLL,Yes,>10,30
Human,13,CLL,No,>10,653
Human,13,CLL,Yes,>10,29
Human,14,CLL,No,>10,657
Human,14,CLL,Yes,>10,31
Human,15,CLL,No,>10,673
Human,15,CLL,Yes,>10,35
Human,16,CLL,No,>10,661
Human,16,CLL,Yes,>10,37
Human,17,CLL,No,>10,702
Human,17,CLL,Yes,>10,38
Human,18,CLL,No,>10,804
Human,18,CLL,Yes,>10,37
Human,19,CLL,No,>10,853
Human,19,CLL,Yes,>10,57
Human,20,CLL,No,>10,1128
Human,20,CLL,Yes,>10,88
Human,21,CLL,No,>10,1171
Human,21,CLL,Yes,>10,126
Human,22,CLL,No,>10,619
Human,22,CLL,Yes,>10,105
Human,23,CLL,No,>10,233
Human,23,CLL,Yes,>10,62
Human,24,CLL,No,>10,46
Human,24,CLL,Yes,>10,20
Human,1,CMV,No,1,1129105
Human,1,CMV,No,2,27192
Human,1,CMV,No,3,5224
Human,1,CMV,No,4,1510
Human,1,CMV,No,5,616
Human,1,CMV,No,6,266
Human,1,CMV,No,7,139
Human,1,CMV,No,8,88
Human,1,CMV,No,9,40
Human,1,CMV,No,10,39
Human,1,CMV,No,>10,67
Human,1,CMV,Yes,1,73680
Human,1,CMV,Yes,2,2050
Human,1,CMV,Yes,3,484
Human,1,CMV,Yes,4,183
Human,1,CMV,Yes,5,99
Human,1,CMV,Yes,6,55
Human,1,CMV,Yes,7,24
Human,1,CMV,Yes,8,15
Human,1,CMV,Yes,9,10
Human,1,CMV,Yes,10,7
Human,1,CMV,Yes,>10,21
Human,2,CMV,No,1,157
Human,2,CMV,No,2,49838
Human,2,CMV,No,3,18116
Human,2,CMV,No,4,8660
Human,2,CMV,No,5,4956
Human,2,CMV,No,6,2962
Human,2,CMV,No,7,2115
Human,2,CMV,No,8,1510
Human,2,CMV,No,9,1104
Human,2,CMV,No,10,912
Human,2,CMV,No,>10,7605
Human,2,CMV,Yes,2,5126
Human,2,CMV,Yes,3,1831
Human,2,CMV,Yes,4,1008
Human,2,CMV,Yes,5,564
Human,2,CMV,Yes,6,381
Human,2,CMV,Yes,7,231
Human,2,CMV,Yes,8,161
Human,2,CMV,Yes,9,124
Human,2,CMV,Yes,10,114
Human,2,CMV,Yes,>10,811
Human,3,CMV,No,2,53
Human,3,CMV,No,3,11904
Human,3,CMV,No,4,9023
Human,3,CMV,No,5,6181
Human,3,CMV,No,6,4614
Human,3,CMV,No,7,3502
Human,3,CMV,No,8,2662
Human,3,CMV,No,9,2063
Human,3,CMV,No,10,1687
Human,3,CMV,No,>10,13651
Human,3,CMV,Yes,3,1070
Human,3,CMV,Yes,4,880
Human,3,CMV,Yes,5,709
Human,3,CMV,Yes,6,574
Human,3,CMV,Yes,7,410
Human,3,CMV,Yes,8,283
Human,3,CMV,Yes,9,251
Human,3,CMV,Yes,10,206
Human,3,CMV,Yes,>10,1552
Human,4,CMV,No,2,3
Human,4,CMV,No,3,15
Human,4,CMV,No,4,3118
Human,4,CMV,No,5,3689
Human,4,CMV,No,6,3494
Human,4,CMV,No,7,2988
Human,4,CMV,No,8,2796
Human,4,CMV,No,9,2398
Human,4,CMV,No,10,2004
Human,4,CMV,No,>10,20583
Human,4,CMV,Yes,4,288
Human,4,CMV,Yes,5,361
Human,4,CMV,Yes,6,327
Human,4,CMV,Yes,7,322
Human,4,CMV,Yes,8,308
Human,4,CMV,Yes,9,265
Human,4,CMV,Yes,10,249
Human,4,CMV,Yes,>10,2345
Human,5,CMV,No,4,4
Human,5,CMV,No,5,811
Human,5,CMV,No,6,1284
Human,5,CMV,No,7,1518
Human,5,CMV,No,8,1608
Human,5,CMV,No,9,1529
Human,5,CMV,No,10,1507
Human,5,CMV,No,>10,25895
Human,5,CMV,Yes,5,73
Human,5,CMV,Yes,6,106
Human,5,CMV,Yes,7,131
Human,5,CMV,Yes,8,133
Human,5,CMV,Yes,9,145
Human,5,CMV,Yes,10,117
Human,5,CMV,Yes,>10,2821
Human,6,CMV,No,6,182
Human,6,CMV,No,7,366
Human,6,CMV,No,8,506
Human,6,CMV,No,9,629
Human,6,CMV,No,10,749
Human,6,CMV,No,>10,27093
Human,6,CMV,Yes,6,8
Human,6,CMV,Yes,7,20
Human,6,CMV,Yes,8,43
Human,6,CMV,Yes,9,52
Human,6,CMV,Yes,10,57
Human,6,CMV,Yes,>10,2725
Human,7,CMV,No,7,37
Human,7,CMV,No,8,76
Human,7,CMV,No,9,173
Human,7,CMV,No,10,220
Human,7,CMV,No,>10,26024
Human,7,CMV,Yes,7,1
Human,7,CMV,Yes,8,6
Human,7,CMV,Yes,9,12
Human,7,CMV,Yes,10,13
Human,7,CMV,Yes,>10,2385
Human,8,CMV,No,8,7
Human,8,CMV,No,9,22
Human,8,CMV,No,10,39
Human,8,CMV,No,>10,24431
Human,8,CMV,Yes,9,2
Human,8,CMV,Yes,>10,2055
Human,9,CMV,No,10,3
Human,9,CMV,No,>10,22594
Human,9,CMV,Yes,>10,1864
Human,10,CMV,No,>10,21069
Human,10,CMV,Yes,>10,1603
Human,11,CMV,No,>10,19869
Human,11,CMV,Yes,>10,1363
Human,12,CMV,No,>10,18661
Human,12,CMV,Yes,>10,1140
Human,13,CMV,No,>10,17633
Human,13,CMV,Yes,>10,1007
Human,14,CMV,No,>10,16928
Human,14,CMV,Yes,>10,847
Human,15,CMV,No,>10,15048
Human,15,CMV,Yes,>10,756
Human,16,CMV,No,>10,13081
Human,16,CMV,Yes,>10,671
Human,17,CMV,No,>10,11871
Human,17,CMV,Yes,>10,648
Human,18,CMV,No,>10,10420
Human,18,CMV,Yes,>10,576
Human,19,CMV,No,>10,9085
Human,19,CMV,Yes,>10,611
Human,20,CMV,No,>10,7155
Human,20,CMV,Yes,>10,659
Human,21,CMV,No,>10,3373
Human,21,CMV,Yes,>10,409
Human,22,CMV,No,>10,1233
Human,22,CMV,Yes,>10,217
Human,23,CMV,No,>10,321
Human,23,CMV,Yes,>10,86
Human,24,CMV,No,>10,46
Human,24,CMV,Yes,>10,20
Human,1,CMV/EBV,No,1,28085746
Human,1,CMV/EBV,No,2,1973645
Human,1,CMV/EBV,No,3,657099
Human,1,CMV/EBV,No,4,353096
Human,1,CMV/EBV,No,5,235352
Human,1,CMV/EBV,No,6,176131
Human,1,CMV/EBV,No,7,140843
Human,1,CMV/EBV,No,8,116407
Human,1,CMV/EBV,No,9,98655
Human,1,CMV/EBV,No,10,85144
Human,1,CMV/EBV,No,>10,1081956
Human,1,CMV/EBV,Yes,1,340282
Human,1,CMV/EBV,Yes,2,38591
Human,1,CMV/EBV,Yes,3,14832
Human,1,CMV/EBV,Yes,4,9432
Human,1,CMV/EBV,Yes,5,7341
Human,1,CMV/EBV,Yes,6,5787
Human,1,CMV/EBV,Yes,7,5039
Human,1,CMV/EBV,Yes,8,4557
Human,1,CMV/EBV,Yes,9,4104
Human,1,CMV/EBV,Yes,10,3588
Human,1,CMV/EBV,Yes,>10,59984
Human,2,CMV/EBV,No,1,2453
Human,2,CMV/EBV,No,2,1014296
Human,2,CMV/EBV,No,3,391285
Human,2,CMV/EBV,No,4,193823
Human,2,CMV/EBV,No,5,114999
Human,2,CMV/EBV,No,6,75922
Human,2,CMV/EBV,No,7,53707
