"Species","Disease_presence_antibody","Disease","Isotype","BSource","BType","n_unique_antibodies"
"Human",1,"SARS-COV-2","Bulk","PBMC","Plasmablast",100
"Human",1,"SARS-COV-2","Bulk","PBMC","Unsorted-B-Cells",22386853
"Human",2,"SARS-COV-2","Bulk","PBMC","Unsorted-B-Cells",4611
"Human",3,"SARS-COV-2","Bulk","PBMC","Unsorted-B-Cells",549
"Human",4,"SARS-COV-2","Bulk","PBMC","Unsorted-B-Cells",109
"Human",5,"SARS-COV-2","Bulk","PBMC","Unsorted-B-Cells",22
"Human",6,"SARS-COV-2","Bulk","PBMC","Unsorted-B-Cells",1
"Human",1,"SARS-COV-2","IGHA","Nasopharyngeal-Swab","Unsorted-B-Cells",1083653
"Human",2,"SARS-COV-2","IGHA","Nasopharyngeal-Swab","Unsorted-B-Cells",32
"Human",3,"SARS-COV-2","IGHA","Nasopharyngeal-Swab","Unsorted-B-Cells",4
"Human",4,"SARS-COV-2","IGHA","Nasopharyngeal-Swab","Unsorted-B-Cells",1
"Human",1,"SARS-COV-2","IGHA","PBMC","ASC",1168
"Human",1,"SARS-COV-2","IGHA","PBMC","Memory-B-Cells",33731
"Human",2,"SARS-COV-2","IGHA","PBMC","Memory-B-Cells",1
"Human",1,"SARS-COV-2","IGHA","PBMC","Naive-B-Cells",166
"Human",1,"SARS-COV-2","IGHA","PBMC","Plasmablast",729
"Human",1,"SARS-COV-2","IGHA","PBMC","Unsorted-B-Cells",5367789
"Human",2,"SARS-COV-2","IGHA","PBMC","Unsorted-B-Cells",158
"Human",3,"SARS-COV-2","IGHA","PBMC","Unsorted-B-Cells",12
"Human",4,"SARS-COV-2","IGHA","PBMC","Unsorted-B-Cells",6
"Human",1,"SARS-COV-2","IGHD","Nasopharyngeal-Swab","Unsorted-B-Cells",1532865
"Human",2,"SARS-COV-2","IGHD","Nasopharyngeal-Swab","Unsorted-B-Cells",314
"Human",3,"SARS-COV-2","IGHD","Nasopharyngeal-Swab","Unsorted-B-Cells",31
"Human",4,"SARS-COV-2","IGHD","Nasopharyngeal-Swab","Unsorted-B-Cells",8
"Human",5,"SARS-COV-2","IGHD","Nasopharyngeal-Swab","Unsorted-B-Cells",2
"Human",1,"SARS-COV-2","IGHD","PBMC","ASC",5
"Human",1,"SARS-COV-2","IGHD","PBMC","Memory-B-Cells",192
"Human",1,"SARS-COV-2","IGHD","PBMC","Naive-B-Cells",14935
"Human",2,"SARS-COV-2","IGHD","PBMC","Naive-B-Cells",54
"Human",3,"SARS-COV-2","IGHD","PBMC","Naive-B-Cells",5
"Human",1,"SARS-COV-2","IGHD","PBMC","Plasmablast",5
"Human",1,"SARS-COV-2","IGHD","PBMC","Unsorted-B-Cells",2968053
"Human",2,"SARS-COV-2","IGHD","PBMC","Unsorted-B-Cells",3515
"Human",3,"SARS-COV-2","IGHD","PBMC","Unsorted-B-Cells",404
"Human",4,"SARS-COV-2","IGHD","PBMC","Unsorted-B-Cells",88
"Human",5,"SARS-COV-2","IGHD","PBMC","Unsorted-B-Cells",21
"Human",6,"SARS-COV-2","IGHD","PBMC","Unsorted-B-Cells",1
"Human",1,"SARS-COV-2","IGHE","Nasopharyngeal-Swab","Unsorted-B-Cells",43042
"Human",1,"SARS-COV-2","IGHE","PBMC","Naive-B-Cells",1
"Human",1,"SARS-COV-2","IGHE","PBMC","Unsorted-B-Cells",59557
"Human",2,"SARS-COV-2","IGHE","PBMC","Unsorted-B-Cells",1
"Human",3,"SARS-COV-2","IGHE","PBMC","Unsorted-B-Cells",1
"Human",1,"SARS-COV-2","IGHG","Nasopharyngeal-Swab","Unsorted-B-Cells",992660
"Human",2,"SARS-COV-2","IGHG","Nasopharyngeal-Swab","Unsorted-B-Cells",118
"Human",3,"SARS-COV-2","IGHG","Nasopharyngeal-Swab","Unsorted-B-Cells",16
"Human",4,"SARS-COV-2","IGHG","Nasopharyngeal-Swab","Unsorted-B-Cells",2
"Human",1,"SARS-COV-2","IGHG","PBMC","ASC",1184
"Human",1,"SARS-COV-2","IGHG","PBMC","Memory-B-Cells",27345
"Human",1,"SARS-COV-2","IGHG","PBMC","Naive-B-Cells",268
"Human",1,"SARS-COV-2","IGHG","PBMC","Plasmablast",1286
"Human",1,"SARS-COV-2","IGHG","PBMC","Unsorted-B-Cells",19344104
"Human",2,"SARS-COV-2","IGHG","PBMC","Unsorted-B-Cells",809
"Human",3,"SARS-COV-2","IGHG","PBMC","Unsorted-B-Cells",59
"Human",4,"SARS-COV-2","IGHG","PBMC","Unsorted-B-Cells",14
"Human",1,"SARS-COV-2","IGHM","Nasopharyngeal-Swab","Unsorted-B-Cells",1987347
"Human",2,"SARS-COV-2","IGHM","Nasopharyngeal-Swab","Unsorted-B-Cells",556
"Human",3,"SARS-COV-2","IGHM","Nasopharyngeal-Swab","Unsorted-B-Cells",76
"Human",4,"SARS-COV-2","IGHM","Nasopharyngeal-Swab","Unsorted-B-Cells",17
"Human",5,"SARS-COV-2","IGHM","Nasopharyngeal-Swab","Unsorted-B-Cells",5
"Human",6,"SARS-COV-2","IGHM","Nasopharyngeal-Swab","Unsorted-B-Cells",1
"Human",1,"SARS-COV-2","IGHM","PBMC","ASC",3323
"Human",1,"SARS-COV-2","IGHM","PBMC","Memory-B-Cells",90811
"Human",2,"SARS-COV-2","IGHM","PBMC","Memory-B-Cells",8
"Human",3,"SARS-COV-2","IGHM","PBMC","Memory-B-Cells",2
"Human",1,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",357060
"Human",2,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",1358
"Human",3,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",148
"Human",4,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",30
"Human",5,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",8
"Human",6,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",3
"Human",7,"SARS-COV-2","IGHM","PBMC","Naive-B-Cells",1
"Human",1,"SARS-COV-2","IGHM","PBMC","Plasmablast",253
"Human",1,"SARS-COV-2","IGHM","PBMC","Unsorted-B-Cells",22704086
"Human",2,"SARS-COV-2","IGHM","PBMC","Unsorted-B-Cells",16194
"Human",3,"SARS-COV-2","IGHM","PBMC","Unsorted-B-Cells",1293
"Human",4,"SARS-COV-2","IGHM","PBMC","Unsorted-B-Cells",195
"Human",5,"SARS-COV-2","IGHM","PBMC","Unsorted-B-Cells",33
"Human",6,"SARS-COV-2","IGHM","PBMC","Unsorted-B-Cells",2
"Human",1,"SLE","Bulk","PBMC","Unsorted-B-Cells",48659
"Human",2,"SLE","Bulk","PBMC","Unsorted-B-Cells",1
"Human",1,"SLE","IGHA","PBMC","Unsorted-B-Cells",2892108
"Human",2,"SLE","IGHA","PBMC","Unsorted-B-Cells",54
"Human",1,"SLE","IGHD","PBMC","Unsorted-B-Cells",85
"Human",1,"SLE","IGHE","PBMC","Unsorted-B-Cells",130
"Human",1,"SLE","IGHG","PBMC","Unsorted-B-Cells",1908319
"Human",2,"SLE","IGHG","PBMC","Unsorted-B-Cells",76
"Human",3,"SLE","IGHG","PBMC","Unsorted-B-Cells",1
"Human",4,"SLE","IGHG","PBMC","Unsorted-B-Cells",1
"Human",1,"SLE","IGHM","PBMC","Unsorted-B-Cells",4255526
"Human",2,"SLE","IGHM","PBMC","Unsorted-B-Cells",353
"Human",3,"SLE","IGHM","PBMC","Unsorted-B-Cells",29
"Human",4,"SLE","IGHM","PBMC","Unsorted-B-Cells",6
"Human",5,"SLE","IGHM","PBMC","Unsorted-B-Cells",3
"Human",6,"SLE","IGHM","PBMC","Unsorted-B-Cells",2
"Human",1,"Tonsillitis","Bulk","Tonsillectomy","Germlinal-Center-B-Cells",14963
"Human",2,"Tonsillitis","Bulk","Tonsillectomy","Germlinal-Center-B-Cells",24
"Human",1,"Tonsillitis","Bulk","Tonsillectomy","Memory-B-Cells",11408
"Human",2,"Tonsillitis","Bulk","Tonsillectomy","Memory-B-Cells",12
"Human",1,"Tonsillitis","Bulk","Tonsillectomy","Naive-B-Cells",4412
"Human",2,"Tonsillitis","Bulk","Tonsillectomy","Naive-B-Cells",4
"Human",1,"Tonsillitis","Bulk","Tonsillectomy","Plasmablast",25960
"Human",2,"Tonsillitis","Bulk","Tonsillectomy","Plasmablast",18
"Human",1,"Tonsillitis","Bulk","Tonsillectomy","Unsorted-B-Cells",5585
"Human",2,"Tonsillitis","Bulk","Tonsillectomy","Unsorted-B-Cells",3
"Human",1,"Tonsillitis","IGHA","Tonsillectomy","Germlinal-Center-B-Cells",79616
"Human",2,"Tonsillitis","IGHA","Tonsillectomy","Germlinal-Center-B-Cells",96
"Human",3,"Tonsillitis","IGHA","Tonsillectomy","Germlinal-Center-B-Cells",15
"Human",1,"Tonsillitis","IGHA","Tonsillectomy","Memory-B-Cells",53131
"Human",2,"Tonsillitis","IGHA","Tonsillectomy","Memory-B-Cells",76
"Human",3,"Tonsillitis","IGHA","Tonsillectomy","Memory-B-Cells",14
"Human",1,"Tonsillitis","IGHA","Tonsillectomy","Naive-B-Cells",1252
"Human",2,"Tonsillitis","IGHA","Tonsillectomy","Naive-B-Cells",22
"Human",3,"Tonsillitis","IGHA","Tonsillectomy","Naive-B-Cells",12
"Human",1,"Tonsillitis","IGHA","Tonsillectomy","Plasmablast",42617
"Human",2,"Tonsillitis","IGHA","Tonsillectomy","Plasmablast",41
"Human",3,"Tonsillitis","IGHA","Tonsillectomy","Plasmablast",2
"Human",1,"Tonsillitis","IGHA","Tonsillectomy","Unsorted-B-Cells",7956
"Human",2,"Tonsillitis","IGHA","Tonsillectomy","Unsorted-B-Cells",38
"Human",3,"Tonsillitis","IGHA","Tonsillectomy","Unsorted-B-Cells",2
"Human",1,"Tonsillitis","IGHD","Tonsillectomy","Germlinal-Center-B-Cells",23211
"Human",2,"Tonsillitis","IGHD","Tonsillectomy","Germlinal-Center-B-Cells",28
"Human",3,"Tonsillitis","IGHD","Tonsillectomy","Germlinal-Center-B-Cells",1
"Human",1,"Tonsillitis","IGHD","Tonsillectomy","Memory-B-Cells",30159
"Human",2,"Tonsillitis","IGHD","Tonsillectomy","Memory-B-Cells",48
"Human",3,"Tonsillitis","IGHD","Tonsillectomy","Memory-B-Cells",1
"Human",7,"Tonsillitis","IGHD","Tonsillectomy","Memory-B-Cells",1
"Human",1,"Tonsillitis","IGHD","Tonsillectomy","Naive-B-Cells",23923
"Human",2,"Tonsillitis","IGHD","Tonsillectomy","Naive-B-Cells",22
"Human",3,"Tonsillitis","IGHD","Tonsillectomy","Naive-B-Cells",1
"Human",1,"Tonsillitis","IGHD","Tonsillectomy","Plasmablast",375
"Human",2,"Tonsillitis","IGHD","Tonsillectomy","Plasmablast",13
"Human",1,"Tonsillitis","IGHD","Tonsillectomy","Unsorted-B-Cells",12533
"Human",2,"Tonsillitis","IGHD","Tonsillectomy","Unsorted-B-Cells",14
"Human",1,"Tonsillitis","IGHE","Tonsillectomy","Germlinal-Center-B-Cells",49
"Human",1,"Tonsillitis","IGHE","Tonsillectomy","Memory-B-Cells",21
"Human",1,"Tonsillitis","IGHE","Tonsillectomy","Naive-B-Cells",2
"Human",1,"Tonsillitis","IGHE","Tonsillectomy","Plasmablast",67
"Human",1,"Tonsillitis","IGHE","Tonsillectomy","Unsorted-B-Cells",11
"Human",1,"Tonsillitis","IGHG","Tonsillectomy","Germlinal-Center-B-Cells",1071518
"Human",2,"Tonsillitis","IGHG","Tonsillectomy","Germlinal-Center-B-Cells",1523
"Human",3,"Tonsillitis","IGHG","Tonsillectomy","Germlinal-Center-B-Cells",26
"Human",1,"Tonsillitis","IGHG","Tonsillectomy","Memory-B-Cells",379752
"Human",2,"Tonsillitis","IGHG","Tonsillectomy","Memory-B-Cells",1031
"Human",3,"Tonsillitis","IGHG","Tonsillectomy","Memory-B-Cells",32
"Human",1,"Tonsillitis","IGHG","Tonsillectomy","Naive-B-Cells",10301
"Human",2,"Tonsillitis","IGHG","Tonsillectomy","Naive-B-Cells",462
"Human",3,"Tonsillitis","IGHG","Tonsillectomy","Naive-B-Cells",27
"Human",1,"Tonsillitis","IGHG","Tonsillectomy","Plasmablast",1347049
"Human",2,"Tonsillitis","IGHG","Tonsillectomy","Plasmablast",1343
"Human",3,"Tonsillitis","IGHG","Tonsillectomy","Plasmablast",19
"Human",1,"Tonsillitis","IGHG","Tonsillectomy","Unsorted-B-Cells",201594
"Human",2,"Tonsillitis","IGHG","Tonsillectomy","Unsorted-B-Cells",516
"Human",3,"Tonsillitis","IGHG","Tonsillectomy","Unsorted-B-Cells",10
"Human",1,"Tonsillitis","IGHM","Tonsillectomy","Germlinal-Center-B-Cells",1085558
"Human",2,"Tonsillitis","IGHM","Tonsillectomy","Germlinal-Center-B-Cells",1852
"Human",3,"Tonsillitis","IGHM","Tonsillectomy","Germlinal-Center-B-Cells",22
"Human",1,"Tonsillitis","IGHM","Tonsillectomy","Memory-B-Cells",970199
"Human",2,"Tonsillitis","IGHM","Tonsillectomy","Memory-B-Cells",1400
"Human",3,"Tonsillitis","IGHM","Tonsillectomy","Memory-B-Cells",8
"Human",1,"Tonsillitis","IGHM","Tonsillectomy","Naive-B-Cells",477014
"Human",2,"Tonsillitis","IGHM","Tonsillectomy","Naive-B-Cells",685
"Human",3,"Tonsillitis","IGHM","Tonsillectomy","Naive-B-Cells",8
"Human",1,"Tonsillitis","IGHM","Tonsillectomy","Plasmablast",100279
"Human",2,"Tonsillitis","IGHM","Tonsillectomy","Plasmablast",559
"Human",3,"Tonsillitis","IGHM","Tonsillectomy","Plasmablast",9
"Human",1,"Tonsillitis","IGHM","Tonsillectomy","Unsorted-B-Cells",376184
"Human",2,"Tonsillitis","IGHM","Tonsillectomy","Unsorted-B-Cells",783
"Human",3,"Tonsillitis","IGHM","Tonsillectomy","Unsorted-B-Cells",4
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Germlinal-Center-B-Cells",8461
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Germlinal-Center-B-Cells",20
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Memory-B-Cells",6192
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Memory-B-Cells",16
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Naive-B-Cells",1483
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Naive-B-Cells",1
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Plasmablast",4989
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Plasmablast",12
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Unsorted-B-Cells",2544
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","Bulk","Tonsillectomy","Unsorted-B-Cells",6
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Germlinal-Center-B-Cells",30893
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Germlinal-Center-B-Cells",72
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Germlinal-Center-B-Cells",7
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Memory-B-Cells",22546
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Memory-B-Cells",88
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Memory-B-Cells",18
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Naive-B-Cells",481
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Naive-B-Cells",16
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Naive-B-Cells",8
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Plasmablast",15338
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Plasmablast",57
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Plasmablast",9
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Unsorted-B-Cells",3004
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Unsorted-B-Cells",26
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHA","Tonsillectomy","Unsorted-B-Cells",8
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Germlinal-Center-B-Cells",19459
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Germlinal-Center-B-Cells",33
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Memory-B-Cells",26212
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Memory-B-Cells",57
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Memory-B-Cells",1
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Naive-B-Cells",16815
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Naive-B-Cells",17
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Plasmablast",347
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Plasmablast",9
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Unsorted-B-Cells",8889
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHD","Tonsillectomy","Unsorted-B-Cells",12
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHE","Tonsillectomy","Germlinal-Center-B-Cells",6
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHE","Tonsillectomy","Memory-B-Cells",11
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHE","Tonsillectomy","Naive-B-Cells",1
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHE","Tonsillectomy","Plasmablast",25
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHE","Tonsillectomy","Unsorted-B-Cells",12
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Germlinal-Center-B-Cells",246054
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Germlinal-Center-B-Cells",1034
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Germlinal-Center-B-Cells",17
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Memory-B-Cells",174550
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Memory-B-Cells",1326
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Memory-B-Cells",37
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Naive-B-Cells",4976
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Naive-B-Cells",251
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Naive-B-Cells",17
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Plasmablast",563371
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Plasmablast",1336
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Plasmablast",11
"Human",4,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Plasmablast",1
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Unsorted-B-Cells",106918
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Unsorted-B-Cells",551
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHG","Tonsillectomy","Unsorted-B-Cells",13
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Germlinal-Center-B-Cells",797031
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Germlinal-Center-B-Cells",1584
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Germlinal-Center-B-Cells",7
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Memory-B-Cells",851634
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Memory-B-Cells",1888
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Memory-B-Cells",32
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Naive-B-Cells",311244
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Naive-B-Cells",486
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Naive-B-Cells",3
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Plasmablast",99240
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Plasmablast",524
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Plasmablast",1
"Human",1,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Unsorted-B-Cells",256678
"Human",2,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Unsorted-B-Cells",778
"Human",3,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Unsorted-B-Cells",4
"Human",4,"Tonsillitis/Obstructive-Sleep-Apnea","IGHM","Tonsillectomy","Unsorted-B-Cells",1
